序号,名称,简介,网址
25,阿里创作平台,淘宝达人是一群活跃于淘宝上的本土明星，他们爱挑、会买爱分享，他们会被媒体轮番轰炸,https://we.taobao.com/
26,淘宝大学,书山有路勤为径，苦海无涯苦作舟,https://daxue.taobao.com/
27,淘宝商家论坛,"数十万淘宝卖家的沟通学习的论坛,分享打造爆款的经验,学习钻石展位和直通车的高手经验,高转化率的装修模板",https://mai.bbs.taobao.com/list.html
28,淘宝联盟,淘宝联盟是阿里妈妈平台给淘客推广者搭建的推广平台，您可以在淘宝联盟后台 取链推广和提现等一系列操作。,https://pub.alimama.com/
29,亿邦动力网,"电子商务,产业互联网,B2C,B2B,C2C,跨境电商,电商数据,电商会议,移动电商,电商服务",http://www.ebrun.com/
30,艾瑞网,艾瑞网聚合互联网数据资讯，融合互联网行业资源，提供电子商务、移动互联网、网络游戏、网络广告、网络营销等行业内容,https://www.iresearch.cn/
31,阿里研究院,阿里研究院是依托阿里巴巴集团海量数据、深耕小企业前沿案例、集结全球商业智慧，以开放、合作、共建、共创的方式打造具影响力的新商业知识平台,http://www.aliresearch.com/
32,电商报,电商报是国内最具影响力的电子商务媒体和电子商务专业研究机构之一，关注并24小时播报B2B、B2C、C2C、外贸、移动电商等电商领域最新动态，揭示电子商务行业发展趋势和热点话题。,http://www.dsb.cn/
33,千牛头条,千牛头条目前有3.5亿用户，日活跃用户超过7000万。可观的流量也吸引了很多的企业和其他机构来此平台宣传，也达到了很好的效果!那么千牛头条是干什么的呢?相比较其他传统平台,https://market.m.taobao.com/app/qn/toutiao-h5/index.html#!/pages/index/index
34,电商在线,电商在线——电商资讯第一入口,http://www.imaijia.com/
35,派代,派代网定位为中国电子商务的入口，目前是中国最活跃、最具影响力的电子商务行业交流平台，聚集了大量的电子商务领军企业创始人群。提供电商学习、人才招聘、企业贷款等电子商务综合服务。,http://www.paidai.com/
36,天下网商,天下网商掌握权威的电商资讯和人脉，专注为新网商提供专业原创的电商资讯、知识，同时还提供天猫和淘宝商家集培训、营销、实战于一体的系统化服务，成为电商第一入口,http://i.wshang.com/
37,真刷淘宝卖家论坛,"真刷,让淘宝卖家盈利变得更简单!深入学习交流分享的淘宝卖家论坛,真刷淘宝论坛免费帮助卖家解决疑难及分享淘宝价值教程,技术,工具等等!",http://www.zhenshua.com/
38,虚拟宝库网,"虚拟宝库网(www.xunibaoku.com):主要为淘宝卖家提供虚拟货源,免费提供淘宝大学开店教程,实战销售教程,从店铺装修到宝贝优化排名,从淘宝seo教程到实战营销,以实战为根本,打造淘宝第一虚拟货源宝库!",http://www.xunibaoku.com/
39,开网店论坛,"开网店论坛是一家拥有淘宝大学免费课程和淘宝vip视频教程资源的淘宝卖家论坛,提供淘宝开店教程,2019淘宝大学开店视频教程,淘宝打造爆款教程,淘宝怎么开店视频教程,淘宝店铺装修教程,各种淘宝大学免费课程等!",http://tao.130vip.com/
40,储宝网,商学院VIP教程大全,http://chu5.yangmeng9.cn:89/
41,好卖家论坛,"淘宝大学免费课程,淘宝教程,淘宝培训教程,电商培训教程,淘宝卖家论坛,电商运营培训,淘宝开店教程,好卖家论坛,uv淘,淘宝论坛,淘宝运营培训",https://www.uvtao.com/
42,TB58论坛,淘宝卖家论坛社区_淘宝卖家最爱上的开店运营经验学习交流论坛首页！,http://www.tb58.net/
43,荷塘月色,"宝天猫卖家 社区,学习爆款经验 技巧 补单平台 研究分享 大学 高级开店技巧 交流学习",http://www.htys123.com/
44,58电商论坛,"58电商论坛是一家拥有各种电商学院vip视频教程,淘宝开店教程,淘宝店铺装修教程,电商培训,淘宝课程,淘宝视频教程,电商运营,电商小程序,淘宝美工,淘宝客程序,电商淘宝素材为一体的综合性电商论坛。",http://www.58dslt.com/
45,36氪,36氪为您提供创业资讯、科技新闻、投融资对接、股权投资、极速融资等创业服务,https://36kr.com/
46,爱范儿,爱范儿 · 让未来触手可及,https://www.ifanr.com/
47,极客公园,极客公园聚焦互联网领域，跟踪最新的科技新闻动态，关注极具创新精神的科技产品,http://www.geekpark.net/
48,虎嗅网,聚合优质的创新信息与人群，捕获精选|深度|犀利的商业科技资讯。在虎嗅，不错过互联网的每个重要时刻,https://www.huxiu.com/
49,雷锋网,雷锋网成立于2011年，秉承“关注智能与未来”的宗旨，持续对全球前沿技术趋势与产品动态进行深入调研与解读，是国内具有代表性的实力型科技新媒体与信息服务平台.,https://www.leiphone.com/
50,钛媒体,钛媒体是国内首家TMT公司人社群媒体，最有钛度的一人一媒体平台，集信息交流融合、IT技术信息、新媒体于一身的媒体平台。,https://www.tmtpost.com/
51,创业邦,创业邦致力于成为中国创业者的信息平台和服务平台，帮助中国创业者实现创业梦想。创业邦为创业者和风险投资人提供各种创业类最新资讯和实用知识手册，打造创业者和投资人的社交平台。,http://www.cyzone.cn/
52,亿欧网,亿欧是一家专注于新科技、新理念与各产业结合，以助力产业创新升级为使命的服务平台,https://www.iyiou.com/
53,京东研究院,京东研究院作为京东集团前瞻性研究智库和机构，为社会各界提供前沿课题研究、数据、资讯和深度行业分析,https://research.jd.com/
54,猎云网,猎云网坚守用心服务创业者的理念，专注创业创新，互联网创业项目推荐，关注新产品、新公司、新模式，以原创独家报道、分析以及美国硅谷的一手报道闻名业界。为创业者、投资人及相关业内人士提供交流学习、资源对接的桥梁,https://www.lieyunwang.com/
55,梅花网,"致力于成为中国最大的营销作品库,并为行业上下游提供一个合作共赢的互动交流平台。",https://www.meihua.info/
56,打假导航,"打假人,执法者,进货人,消费者专用查询的网址导航站点,直通官方数据库。查验商标、证书、编号、认证信息、厂家信息等官方核定的真实状态",http://www.dajiadaohang.com/
57,菜鸟裹裹,阿里巴巴旗下菜鸟网络官方出品 例如:700074134800 物流跟踪信息 信息为物流公司提供,https://www.guoguo-app.com/
58,顺丰速递,顺丰依托自有丰富运力资源，通过多项不同的快递产品和增值服务，来满足客户多样化、个性化的寄件需求,https://www.sf-express.com/
59,快递100,"快递100,在线寄件,寄快递,快递查询,快递单号查询,快递网点查询,快递电话查询",https://www.kuaidi100.com/
60,圆通快递,"圆通速递有限公司(以下简称圆通速递)创立于2000年5月,现已成为一家集新快递物流、新科技、新零售等业务板块以及航空货运、国内国际协同发展的大型企业集团",http://www.yto.net.cn/
61,申通快递,申通快递有限公司，2007年12月29日成立，经营范围包括国内快递（邮政企业专营业务除外）,http://www.sto.cn/
62,中通快递,"中通快递官网为您提供中通快递单号(运单)跟踪查询,投诉电话查询,运费报价查询,中通营业网点查询,",https://www.zto.com/
63,韵达快递,"查找您身边的韵达网点 请选择需要查询的省市,点击进行查询 GIS地图网点查询 官方微信",http://www.yundaex.com/cn/index.php
64,天天快递,天天快递初创于1994年，总部现设在南京，现有员工100000余人，网点10000多个,https://www.ttkdex.com/
65,EMS,邮政特快专递服务。它是由万国邮联管理下的国际邮件快递服务，是中国邮政提供的一种快递服务。 该业务在海关、航空等部门均享有优先处理权,http://www.ems.com.cn/
66,德邦快递,"德邦致力成为以客户为中心,覆盖快递、快运、整车、仓储与供应链等多元业务的综合性物流供应商",https://www.deppon.com/
67,百世快递,"""百世快递""是百世集团旗下知名快递品牌。2016年3月1日起，为了在业务层面更好地统一百世品牌架构，实现集团物流业务协同发展，由原""百世汇通""正式更名为""百世快递""，",http://www.800bestex.com/
68,京东快递,"京东物流以打造客户体验最优的物流履约平台为使命,通过布局全国的自建仓配物流网络,",https://www.jdwl.com/
69,试用网,试用平台为广大新老客户提供各类商品的免费试用，试用商品天天更新，让您天天有惊喜！,https://www.shiyong.com/
70,抓试网,"抓试网-免费试用网站,第一个抓取全网免费试用的试客试用平台",https://www.zhuashi.com/
71,百度指数,百度指数是以百度海量网民行为数据为基础的数据分享平台。在这里，你可以研究关键词搜索趋势、洞察网民兴趣和需求、监测舆情动向、定位受众特征。,http://index.baidu.com/v2/index.html#/
72,什么值得买,什么值得买 | 认真生活，好好花钱,https://www.smzdm.com/
73,超级大鱼塘,这不是刷单平台！这是大家一起共享微信试客。你按平时的要求发布出去，符合要求的试客会主动加你微信，其它的流程网站不参与！,http://www.cjdyt.cn/
74,代运营之家,代运营之家_淘宝天猫托管网店代运营公司_一站式电商外包服务平台,https://www.daiyunying.com/
75,支付宝,支付宝，全球领先的独立第三方支付平台，致力于为广大用户提供安全快速的电子支付/网上支付/安全支付/手机支付体验,https://www.alipay.com/
